Season,Country,ILI_CASES,REL,B_REL,H3_REL,H1pdm_REL,H3_REL_LAG1,H1pdm_REL_LAG1,B_REL_LAG1,H3_REL_LAG2,H1pdm_REL_LAG2,B_REL_LAG2,H3_REL_LAG3,H1pdm_REL_LAG3,B_REL_LAG3
2016,Israel,20114,0.0773555880316899,0.017715020159929,0.747625198633524,0.00821566152344531,0.00606134492348067,0.634168212619166,0.555293863732641,0.596773317830063,0.801262037624613,0.668459529554171,0.974480072369349,1.08175312960315,0.965880481590301
2017,Israel,25018,0.0962156757172525,0.62654801658272,0.0809056785350424,0.254703062054764,0.747625198633524,0.00821566152344531,0.017715020159929,0.753686543557005,0.642383874142611,0.57300888389257,1.34439851646359,0.809477699148059,0.6861745497141
2018,Israel,25186,0.0968617798630875,0.00884271866727625,0.499260162703094,0.460514917260504,0.0809056785350424,0.254703062054764,0.62654801658272,0.828530877168567,0.262918723578209,0.644263036742649,0.834592222092047,0.897086936197374,1.19955690047529
2019,Israel,32177,0.123748173217445,0.346734011913614,0.010678921893113,0.880068798367721,0.499260162703094,0.460514917260504,0.00884271866727625,0.580165841238137,0.715217979315268,0.635390735249996,1.32779103987166,0.723433640838713,0.653105755409925
2010,Italy,100050,0.0857627051811646,0.179322019924253,0.0157364144662131,0.66256861742118,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,Italy,81954,0.07025084198318,0.0228723671573144,0.677834897057857,0.0018011556166285,0.0157364144662131,0.66256861742118,0.179322019924253,NA,NA,NA,NA,NA,NA
2012,Italy,97475,0.0835554191657573,0.494479389132369,0.0459381191592988,0.295136683365906,0.677834897057857,0.0018011556166285,0.0228723671573144,0.693571311524071,0.664369773037808,0.202194387081568,NA,NA,NA
2013,Italy,66998,0.0574305819263135,0.0218189456436469,0.349650783654291,0.202836089965197,0.0459381191592988,0.295136683365906,0.494479389132369,0.723773016217156,0.296937838982535,0.517351756289683,0.739509430683369,0.959506456403714,0.696673776213936
2014,Italy,101587,0.0870802192027883,0.135915108690563,0.326079097248045,0.408807986089275,0.349650783654291,0.202836089965197,0.0218189456436469,0.39558890281359,0.497972773331103,0.516298334776015,1.07342379987145,0.499773928947732,0.53917070193333
2015,Italy,78628,0.0673997999298812,0.38598386048974,0.178017249625607,0.109996889183464,0.326079097248045,0.408807986089275,0.135915108690563,0.675729880902337,0.611644076054472,0.15773405433421,0.721668000061636,0.906780759420378,0.652213443466579
2016,Italy,91807,0.0786968183365035,0.0379361861791027,0.738745665139684,0.0102863320462488,0.178017249625607,0.109996889183464,0.38598386048974,0.504096346873653,0.518804875272739,0.521898969180303,0.853747130527944,0.721640965237936,0.54371791482395
2017,Italy,193043,0.165476160882434,0.971584793091707,0.0490234516671293,0.634153364065508,0.738745665139684,0.0102863320462488,0.0379361861791027,0.916762914765291,0.120283221229713,0.423920046668843,1.24284201201334,0.529091207318988,0.559835155359406
2018,Italy,186564,0.159922372108134,0.00226376431106197,0.796713129071265,0.800246827699012,0.0490234516671293,0.634153364065508,0.971584793091707,0.787769116806813,0.644439696111757,1.00952097927081,0.96578636643242,0.754436585295221,1.39550483976055
